Time,Deslocamento,Força,Tensão à tração,Deformação à tração (Deslocamento),Strain Gauge 1/Axial Strain Ɛyy,Strain Gauge 1/Transverse Strain Ɛxx,Strain Gauge 1/Shear Strain Ɛxy,Strain Gauge 1/Minimum Normal Strain,Strain Gauge 1/Maximum Normal Strain,Strain Gauge 1/Poisson's Ratio -Ɛxx/Ɛyy,Strain Gauge 1/Axial Displacement dy,Strain Gauge 1/Transverse Displacement dx
ms,mm,kN,MPa,%,%,%,%,%,%,,mm,mm
0.00000,0.00000,0.00268,0.07300,0.00000,-0.00004,-0.00012,-0.00005,-0.00014,-0.00001,0.00000,-0.00027,0.00037
20.00000,0.00002,0.00261,0.07112,0.00001,-0.00010,-0.00020,-0.00031,-0.00062,0.00033,0.00000,-0.00134,0.00189
40.00000,0.00021,0.00292,0.07981,0.00012,0.00094,0.00426,-0.00076,0.00073,0.00447,0.00000,-0.00042,0.00116
60.00000,0.00072,0.00401,0.10933,0.00041,0.00194,0.00535,-0.00060,0.00162,0.00567,0.00000,-0.00023,0.00088
80.00000,0.00142,0.00561,0.15321,0.00081,0.00293,0.00595,-0.00035,0.00244,0.00644,0.00000,-0.00014,0.00067
100.00000,0.00219,0.00768,0.20961,0.00125,0.00392,0.00655,-0.00011,0.00326,0.00722,0.00000,-0.00005,0.00045
120.00000,0.00291,0.00983,0.26838,0.00166,0.00491,0.00716,0.00014,0.00408,0.00799,0.00000,0.00003,0.00023
140.00000,0.00358,0.01171,0.31964,0.00204,0.00591,0.00776,0.00039,0.00490,0.00877,0.00000,0.00012,0.00002
160.00000,0.00419,0.01325,0.36149,0.00240,0.00690,0.00836,0.00063,0.00572,0.00955,0.00000,0.00021,-0.00020
180.00000,0.00481,0.01476,0.40273,0.00275,0.00789,0.00897,0.00088,0.00654,0.01032,0.00000,0.00029,-0.00042
200.00000,0.00547,0.01652,0.45074,0.00313,0.00889,0.00957,0.00112,0.00736,0.01110,0.00000,0.00038,-0.00063
220.00000,0.00618,0.01842,0.50255,0.00353,0.00988,0.01018,0.00137,0.00818,0.01188,0.00000,0.00047,-0.00085
240.00000,0.00689,0.02034,0.55512,0.00394,0.01087,0.01078,0.00161,0.00900,0.01265,0.00000,0.00056,-0.00106
260.00000,0.00757,0.02222,0.60621,0.00432,0.01183,0.01148,0.00175,0.00987,0.01344,0.00000,0.00071,-0.00122
280.00000,0.00818,0.02395,0.65368,0.00468,0.01265,0.01248,0.00156,0.01088,0.01425,0.00000,0.00107,-0.00119
300.00000,0.00878,0.02560,0.69865,0.00502,0.01348,0.01347,0.00137,0.01189,0.01506,0.00000,0.00142,-0.00116
320.00000,0.00940,0.02730,0.74494,0.00537,0.01431,0.01447,0.00118,0.01290,0.01588,0.00000,0.00178,-0.00113
340.00000,0.01005,0.02900,0.79138,0.00574,0.01514,0.01547,0.00099,0.01391,0.01669,0.00000,0.00214,-0.00110
360.00000,0.01074,0.03078,0.84006,0.00613,0.01597,0.01646,0.00080,0.01493,0.01750,0.00000,0.00249,-0.00107
380.00000,0.01145,0.03274,0.89334,0.00654,0.01680,0.01746,0.00062,0.01594,0.01832,0.00000,0.00285,-0.00104
400.00000,0.01216,0.03470,0.94702,0.00695,0.01763,0.01845,0.00043,0.01695,0.01913,0.00000,0.00321,-0.00101
420.00000,0.01282,0.03640,0.99325,0.00732,0.01845,0.01945,0.00024,0.01796,0.01994,0.00000,0.00357,-0.00098
440.00000,0.01344,0.03807,1.03899,0.00768,0.01928,0.02045,0.00005,0.01897,0.02076,0.00000,0.00392,-0.00095
460.00000,0.01404,0.03966,1.08235,0.00802,0.02011,0.02144,-0.00014,0.01998,0.02157,0.00000,0.00428,-0.00092
480.00000,0.01467,0.04127,1.12623,0.00838,0.02094,0.02149,-0.00044,0.02005,0.02238,0.00000,0.00470,-0.00073
500.00000,0.01535,0.04316,1.17789,0.00877,0.02177,0.02065,-0.00085,0.01924,0.02319,0.00000,0.00518,-0.00038
520.00000,0.01608,0.04528,1.23549,0.00919,0.02260,0.01981,-0.00126,0.01842,0.02399,0.00000,0.00566,-0.00003
540.00000,0.01681,0.04724,1.28917,0.00960,0.02343,0.01897,-0.00166,0.01760,0.02480,0.00000,0.00614,0.00032
560.00000,0.01749,0.04917,1.34169,0.01000,0.02426,0.01812,-0.00207,0.01678,0.02561,0.00000,0.00661,0.00067
580.00000,0.01813,0.05087,1.38819,0.01036,0.02510,0.01728,-0.00247,0.01597,0.02641,0.00000,0.00709,0.00102
600.00000,0.01874,0.05260,1.43536,0.01071,0.02593,0.01644,-0.00288,0.01515,0.02722,0.00000,0.00757,0.00137
620.00000,0.01937,0.05412,1.47697,0.01107,0.02676,0.01560,-0.00329,0.01433,0.02803,0.00000,0.00805,0.00172
