Time,Deslocamento,Força,Tensão à tração,Deformação à tração (Deslocamento),Strain Gauge 1/Axial Strain Ɛyy,Strain Gauge 1/Transverse Strain Ɛxx,Strain Gauge 1/Shear Strain Ɛxy,Strain Gauge 1/Minimum Normal Strain,Strain Gauge 1/Maximum Normal Strain,Strain Gauge 1/Poisson's Ratio -Ɛxx/Ɛyy,Strain Gauge 1/Axial Displacement dy,Strain Gauge 1/Transverse Displacement dx
ms,mm,kN,MPa,%,%,%,%,%,%,,mm,mm
0.00000,0.00000,-0.00063,-0.01594,0.00000,-0.00025,-0.00095,-0.00025,-0.00103,-0.00016,0.00000,0.00138,0.00237
20.00000,0.00001,-0.00076,-0.01905,0.00000,-0.00065,-0.00246,-0.00076,-0.00276,-0.00035,0.00000,0.00363,0.00602
40.00000,0.00010,-0.00073,-0.01851,0.00006,-0.00032,-0.00103,-0.00084,-0.00161,0.00026,0.00000,0.00191,0.00198
60.00000,0.00040,-0.00019,-0.00484,0.00023,0.00029,-0.00104,-0.00081,-0.00158,0.00083,0.00000,0.00229,0.00206
80.00000,0.00097,0.00109,0.02737,0.00055,0.00090,-0.00104,-0.00077,-0.00155,0.00141,0.00000,0.00266,0.00214
100.00000,0.00164,0.00301,0.07602,0.00094,0.00151,-0.00105,-0.00074,-0.00153,0.00198,0.00000,0.00304,0.00221
120.00000,0.00233,0.00507,0.12785,0.00133,0.00211,-0.00105,-0.00070,-0.00150,0.00256,0.00000,0.00341,0.00229
140.00000,0.00305,0.00727,0.18325,0.00174,0.00272,-0.00106,-0.00067,-0.00147,0.00314,0.00000,0.00379,0.00237
160.00000,0.00380,0.00972,0.24514,0.00217,0.00333,-0.00106,-0.00063,-0.00145,0.00371,0.00000,0.00416,0.00244
180.00000,0.00452,0.01208,0.30453,0.00258,0.00394,-0.00107,-0.00060,-0.00142,0.00429,0.00000,0.00454,0.00252
200.00000,0.00518,0.01416,0.35702,0.00296,0.00454,-0.00107,-0.00056,-0.00139,0.00487,0.00000,0.00491,0.00260
220.00000,0.00579,0.01615,0.40716,0.00331,0.00515,-0.00108,-0.00053,-0.00136,0.00544,0.00000,0.00529,0.00267
240.00000,0.00638,0.01801,0.45414,0.00365,0.00576,-0.00108,-0.00049,-0.00134,0.00602,0.00000,0.00566,0.00275
260.00000,0.00700,0.01990,0.50190,0.00400,0.00637,-0.00108,-0.00046,-0.00131,0.00659,0.00000,0.00603,0.00283
280.00000,0.00766,0.02193,0.55303,0.00438,0.00697,-0.00109,-0.00042,-0.00128,0.00717,0.00000,0.00641,0.00290
300.00000,0.00837,0.02418,0.60963,0.00478,0.00758,-0.00109,-0.00039,-0.00126,0.00775,0.00000,0.00678,0.00298
320.00000,0.00909,0.02633,0.66385,0.00519,0.00819,-0.00110,-0.00035,-0.00123,0.00832,0.00000,0.00716,0.00306
340.00000,0.00979,0.02846,0.71759,0.00559,0.00880,-0.00110,-0.00032,-0.00120,0.00890,0.00000,0.00753,0.00314
360.00000,0.01043,0.03052,0.76965,0.00596,0.00940,-0.00111,-0.00028,-0.00118,0.00947,0.00000,0.00791,0.00321
380.00000,0.01103,0.03233,0.81514,0.00630,0.01001,-0.00111,-0.00024,-0.00115,0.01005,0.00000,0.00828,0.00329
400.00000,0.01165,0.03427,0.86414,0.00666,0.01062,-0.00112,-0.00021,-0.00112,0.01063,0.00000,0.00866,0.00337
420.00000,0.01231,0.03643,0.91865,0.00703,0.01123,-0.00123,-0.00025,-0.00123,0.01124,0.00000,0.00911,0.00357
440.00000,0.01302,0.03865,0.97461,0.00744,0.01184,-0.00135,-0.00029,-0.00136,0.01185,0.00000,0.00958,0.00379
460.00000,0.01376,0.04084,1.02981,0.00786,0.01246,-0.00148,-0.00034,-0.00148,0.01246,0.00000,0.01004,0.00401
480.00000,0.01447,0.04296,1.08337,0.00827,0.01307,-0.00160,-0.00039,-0.00161,0.01308,0.00000,0.01051,0.00423
500.00000,0.01511,0.04501,1.13501,0.00863,0.01368,-0.00172,-0.00044,-0.00174,0.01369,0.00000,0.01097,0.00445
520.00000,0.01571,0.04670,1.17767,0.00898,0.01429,-0.00185,-0.00049,-0.00187,0.01431,0.00000,0.01144,0.00467
540.00000,0.01632,0.04859,1.22516,0.00933,0.01490,-0.00197,-0.00053,-0.00199,0.01492,0.00000,0.01190,0.00489
560.00000,0.01696,0.05045,1.27213,0.00969,0.01552,-0.00210,-0.00058,-0.00212,0.01554,0.00000,0.01237,0.00511
580.00000,0.01764,0.05253,1.32450,0.01008,0.01613,-0.00222,-0.00063,-0.00225,0.01615,0.00000,0.01284,0.00533
600.00000,0.01834,0.05469,1.37905,0.01048,0.01674,-0.00235,-0.00068,-0.00237,0.01676,0.00000,0.01330,0.00555
620.00000,0.01903,0.05697,1.43641,0.01088,0.01733,-0.00240,-0.00070,-0.00243,0.01736,0.00000,0.01367,0.00562
640.00000,0.01968,0.05907,1.48958,0.01125,0.01784,-0.00217,-0.00062,-0.00220,0.01786,0.00000,0.01364,0.00511
660.00000,0.02030,0.06100,1.53815,0.01160,0.01834,-0.00194,-0.00054,-0.00196,0.01836,0.00000,0.01361,0.00460
680.00000,0.02091,0.06272,1.58152,0.01195,0.01885,-0.00171,-0.00045,-0.00173,0.01887,0.00000,0.01359,0.00408
700.00000,0.02154,0.06449,1.62623,0.01231,0.01935,-0.00148,-0.00037,-0.00150,0.01937,0.00000,0.01356,0.00357
720.00000,0.02222,0.06662,1.67977,0.01270,0.01986,-0.00125,-0.00029,-0.00126,0.01987,0.00000,0.01353,0.00306
740.00000,0.02295,0.06900,1.73987,0.01311,0.02037,-0.00102,-0.00021,-0.00103,0.02038,0.00000,0.01350,0.00254
760.00000,0.02368,0.07112,1.79324,0.01353,0.02087,-0.00079,-0.00013,-0.00080,0.02088,0.00000,0.01347,0.00203
780.00000,0.02436,0.07329,1.84801,0.01392,0.02138,-0.00056,-0.00004,-0.00057,0.02138,0.00000,0.01345,0.00152
800.00000,0.02499,0.07514,1.89466,0.01428,0.02188,-0.00033,0.00004,-0.00033,0.02189,0.00000,0.01342,0.00100
820.00000,0.02559,0.07699,1.94140,0.01462,0.02239,-0.00010,0.00012,-0.00010,0.02239,0.00000,0.01339,0.00049
840.00000,0.02621,0.07882,1.98738,0.01498,0.02291,0.00001,0.00013,0.00001,0.02291,0.00000,0.01349,0.00013
860.00000,0.02686,0.08085,2.03858,0.01535,0.02345,-0.00002,0.00006,-0.00002,0.02345,0.00000,0.01373,-0.00006
880.00000,0.02757,0.08302,2.09351,0.01575,0.02399,-0.00004,-0.00001,-0.00005,0.02399,0.00000,0.01397,-0.00024
900.00000,0.02830,0.08512,2.14624,0.01617,0.02453,-0.00007,-0.00008,-0.00008,0.02453,0.00000,0.01421,-0.00043
920.00000,0.02900,0.08733,2.20220,0.01657,0.02506,-0.00010,-0.00016,-0.00010,0.02507,0.00000,0.01445,-0.00062
940.00000,0.02964,0.08931,2.25211,0.01694,0.02560,-0.00013,-0.00023,-0.00013,0.02561,0.00000,0.01469,-0.00080
960.00000,0.03025,0.09105,2.29589,0.01729,0.02614,-0.00015,-0.00030,-0.00016,0.02615,0.00000,0.01492,-0.00099
980.00000,0.03086,0.09288,2.34209,0.01763,0.02668,-0.00018,-0.00037,-0.00019,0.02669,0.00000,0.01516,-0.00118
1000.00000,0.03149,0.09487,2.39219,0.01800,0.02722,-0.00021,-0.00044,-0.00022,0.02723,0.00000,0.01540,-0.00136
1020.00000,0.03218,0.09681,2.44104,0.01839,0.02776,-0.00024,-0.00052,-0.00025,0.02777,0.00000,0.01564,-0.00155
1040.00000,0.03291,0.09909,2.49868,0.01880,0.02830,-0.00027,-0.00059,-0.00028,0.02831,0.00000,0.01588,-0.00174
1060.00000,0.03363,0.10142,2.55734,0.01922,0.02885,0.00011,-0.00060,0.00009,0.02886,0.00000,0.01634,-0.00143
1080.00000,0.03430,0.10346,2.60888,0.01960,0.02942,0.00062,-0.00058,0.00061,0.02943,0.00000,0.01687,-0.00094
1100.00000,0.03491,0.10545,2.65895,0.01995,0.02998,0.00114,-0.00057,0.00113,0.02999,0.00000,0.01740,-0.00046
1120.00000,0.03551,0.10728,2.70523,0.02029,0.03054,0.00166,-0.00055,0.00164,0.03055,0.00000,0.01793,0.00002
1140.00000,0.03613,0.10905,2.74964,0.02065,0.03111,0.00217,-0.00053,0.00216,0.03112,0.00000,0.01846,0.00051
1160.00000,0.03681,0.11103,2.79974,0.02103,0.03167,0.00269,-0.00052,0.00268,0.03168,0.00000,0.01899,0.00099
1180.00000,0.03754,0.11323,2.85521,0.02145,0.03223,0.00320,-0.00050,0.00319,0.03224,0.00000,0.01952,0.00147
1200.00000,0.03827,0.11554,2.91337,0.02187,0.03280,0.00372,-0.00049,0.00371,0.03280,0.00000,0.02005,0.00196
