Tempo;Deslocamento;Força;Tensão à tração;Deformação à tração (Deslocamento);Extens Bi Axial - Connector 6;Extens Bi Trans - Conector 5
(s);(mm);(kN);(MPa);(%);(%);(%)
"0,0000";"0,0000";"0,0037";"0,0902";"0,0000";"0,0002";"0,0040"
"0,0200";"0,0000";"0,0035";"0,0870";"0,0000";"0,0002";"0,0040"
"0,0400";"0,0004";"0,0040";"0,0991";"0,0004";"0,0004";"0,0042"
"0,0600";"0,0016";"0,0060";"0,1469";"0,0016";"0,0013";"0,0045"
"0,0800";"0,0035";"0,0092";"0,2271";"0,0035";"0,0030";"0,0052"
"0,1000";"0,0053";"0,0127";"0,3118";"0,0053";"0,0047";"0,0060"
"0,1200";"0,0070";"0,0158";"0,3882";"0,0070";"0,0062";"0,0066"
"0,1400";"0,0086";"0,0187";"0,4588";"0,0086";"0,0077";"0,0073"
"0,1600";"0,0102";"0,0216";"0,5316";"0,0102";"0,0092";"0,0079"
"0,1800";"0,0118";"0,0247";"0,6075";"0,0118";"0,0106";"0,0085"
"0,2000";"0,0135";"0,0278";"0,6834";"0,0135";"0,0122";"0,0093"
"0,2200";"0,0152";"0,0308";"0,7557";"0,0152";"0,0137";"0,0100"
"0,2400";"0,0168";"0,0336";"0,8255";"0,0168";"0,0152";"0,0107"
"0,2600";"0,0185";"0,0367";"0,9003";"0,0185";"0,0167";"0,0114"
"0,2800";"0,0201";"0,0394";"0,9686";"0,0201";"0,0181";"0,0119"
"0,3000";"0,0217";"0,0422";"1,0354";"0,0217";"0,0195";"0,0121"
"0,3200";"0,0234";"0,0452";"1,1108";"0,0234";"0,0211";"0,0123"
"0,3400";"0,0251";"0,0482";"1,1846";"0,0251";"0,0226";"0,0129"
"0,3600";"0,0268";"0,0512";"1,2566";"0,0268";"0,0240";"0,0129"
"0,3800";"0,0284";"0,0539";"1,3244";"0,0284";"0,0255";"0,0133"
"0,4000";"0,0301";"0,0569";"1,3961";"0,0301";"0,0269";"0,0132"
"0,4200";"0,0317";"0,0598";"1,4689";"0,0317";"0,0284";"0,0133"
"0,4400";"0,0335";"0,0628";"1,5432";"0,0335";"0,0300";"0,0136"
"0,4600";"0,0352";"0,0658";"1,6156";"0,0352";"0,0315";"0,0137"
"0,4800";"0,0368";"0,0685";"1,6818";"0,0368";"0,0329";"0,0140"
"0,5000";"0,0384";"0,0713";"1,7514";"0,0384";"0,0345";"0,0144"
"0,5200";"0,0400";"0,0742";"1,8229";"0,0400";"0,0359";"0,0147"
"0,5400";"0,0416";"0,0770";"1,8914";"0,0416";"0,0374";"0,0158"
"0,5600";"0,0434";"0,0800";"1,9640";"0,0434";"0,0390";"0,0171"
"0,5800";"0,0450";"0,0828";"2,0335";"0,0450";"0,0404";"0,0182"
"0,6000";"0,0466";"0,0856";"2,1018";"0,0466";"0,0419";"0,0195"
"0,6200";"0,0483";"0,0883";"2,1678";"0,0483";"0,0434";"0,0209"
"0,6400";"0,0499";"0,0911";"2,2370";"0,0499";"0,0449";"0,0232"
"0,6600";"0,0515";"0,0939";"2,3065";"0,0515";"0,0464";"0,0244"
"0,6800";"0,0532";"0,0968";"2,3781";"0,0532";"0,0479";"0,0251"
"0,7000";"0,0548";"0,0996";"2,4457";"0,0548";"0,0494";"0,0254"
"0,7200";"0,0565";"0,1024";"2,5158";"0,0565";"0,0509";"0,0259"
"0,7400";"0,0582";"0,1054";"2,5886";"0,0582";"0,0524";"0,0263"
"0,7600";"0,0599";"0,1083";"2,6588";"0,0599";"0,0539";"0,0267"
"0,7800";"0,0616";"0,1113";"2,7322";"0,0616";"0,0554";"0,0274"
"0,8000";"0,0633";"0,1142";"2,8045";"0,0633";"0,0570";"0,0280"
"0,8200";"0,0649";"0,1171";"2,8751";"0,0649";"0,0584";"0,0285"
"0,8400";"0,0666";"0,1196";"2,9374";"0,0666";"0,0599";"0,0294"
"0,8600";"0,0683";"0,1222";"3,0015";"0,0683";"0,0614";"0,0300"
"0,8800";"0,0699";"0,1249";"3,0670";"0,0699";"0,0628";"0,0304"
"0,9000";"0,0716";"0,1278";"3,1395";"0,0716";"0,0643";"0,0311"
"0,9200";"0,0733";"0,1307";"3,2106";"0,0733";"0,0659";"0,0322"
"0,9400";"0,0749";"0,1337";"3,2840";"0,0749";"0,0673";"0,0328"
"0,9600";"0,0766";"0,1366";"3,3534";"0,0766";"0,0689";"0,0336"
"0,9800";"0,0783";"0,1394";"3,4242";"0,0783";"0,0703";"0,0343"
"1,0000";"0,0799";"0,1424";"3,4961";"0,0799";"0,0718";"0,0349"
"1,0200";"0,0817";"0,1452";"3,5649";"0,0817";"0,0734";"0,0355"
"1,0400";"0,0834";"0,1480";"3,6348";"0,0834";"0,0749";"0,0362"
"1,0600";"0,0850";"0,1507";"3,7020";"0,0850";"0,0763";"0,0370"
"1,0800";"0,0867";"0,1536";"3,7714";"0,0867";"0,0779";"0,0377"
"1,1000";"0,0884";"0,1562";"3,8366";"0,0884";"0,0794";"0,0386"
"1,1200";"0,0900";"0,1590";"3,9047";"0,0900";"0,0808";"0,0393"
"1,1400";"0,0918";"0,1620";"3,9790";"0,0918";"0,0824";"0,0399"
"1,1600";"0,0934";"0,1648";"4,0476";"0,0934";"0,0839";"0,0407"
"1,1800";"0,0950";"0,1676";"4,1164";"0,0950";"0,0853";"0,0413"
"1,2000";"0,0967";"0,1701";"4,1780";"0,0967";"0,0868";"0,0421"
"1,2200";"0,0982";"0,1728";"4,2444";"0,0982";"0,0882";"0,0427"
"1,2400";"0,0999";"0,1757";"4,3153";"0,0999";"0,0897";"0,0435"
"1,2600";"0,1016";"0,1786";"4,3860";"0,1016";"0,0912";"0,0441"
"1,2800";"0,1032";"0,1813";"4,4532";"0,1032";"0,0927";"0,0448"
"1,3000";"0,1049";"0,1841";"4,5218";"0,1049";"0,0942";"0,0457"
"1,3200";"0,1066";"0,1868";"4,5886";"0,1066";"0,0957";"0,0465"
"1,3400";"0,1082";"0,1896";"4,6554";"0,1082";"0,0971";"0,0474"
"1,3600";"0,1098";"0,1923";"4,7225";"0,1098";"0,0986";"0,0482"
"1,3800";"0,1116";"0,1952";"4,7933";"0,1116";"0,1001";"0,0490"
"1,4000";"0,1132";"0,1979";"4,8593";"0,1132";"0,1016";"0,0497"
"1,4200";"0,1149";"0,2006";"4,9253";"0,1149";"0,1030";"0,0503"
"1,4400";"0,1166";"0,2032";"4,9909";"0,1166";"0,1045";"0,0510"
"1,4600";"0,1182";"0,2060";"5,0590";"0,1182";"0,1060";"0,0516"
"1,4800";"0,1199";"0,2088";"5,1278";"0,1199";"0,1075";"0,0523"
"1,5000";"0,1216";"0,2116";"5,1967";"0,1216";"0,1091";"0,0533"
"1,5200";"0,1232";"0,2143";"5,2639";"0,1232";"0,1105";"0,0540"
"1,5400";"0,1249";"0,2171";"5,3308";"0,1249";"0,1120";"0,0547"
"1,5600";"0,1265";"0,2199";"5,3990";"0,1265";"0,1135";"0,0553"
"1,5800";"0,1282";"0,2227";"5,4685";"0,1282";"0,1149";"0,0559"
"1,6000";"0,1300";"0,2256";"5,5399";"0,1300";"0,1165";"0,0566"
"1,6200";"0,1317";"0,2284";"5,6086";"0,1317";"0,1180";"0,0575"
"1,6400";"0,1333";"0,2311";"5,6756";"0,1333";"0,1195";"0,0582"
"1,6600";"0,1350";"0,2338";"5,7424";"0,1350";"0,1210";"0,0589"
"1,6800";"0,1366";"0,2365";"5,8069";"0,1366";"0,1225";"0,0596"
"1,7000";"0,1383";"0,2393";"5,8761";"0,1383";"0,1239";"0,0603"
"1,7200";"0,1400";"0,2419";"5,9416";"0,1400";"0,1255";"0,0610"
"1,7400";"0,1417";"0,2446";"6,0074";"0,1417";"0,1270";"0,0617"
"1,7600";"0,1433";"0,2473";"6,0726";"0,1433";"0,1284";"0,0625"
"1,7800";"0,1450";"0,2501";"6,1422";"0,1450";"0,1299";"0,0632"
"1,8000";"0,1466";"0,2529";"6,2094";"0,1466";"0,1314";"0,0639"
"1,8200";"0,1483";"0,2557";"6,2797";"0,1483";"0,1329";"0,0645"
"1,8400";"0,1501";"0,2585";"6,3488";"0,1501";"0,1345";"0,0652"
"1,8600";"0,1517";"0,2612";"6,4147";"0,1517";"0,1359";"0,0657"
"1,8800";"0,1534";"0,2639";"6,4804";"0,1534";"0,1374";"0,0665"
"1,9000";"0,1550";"0,2665";"6,5454";"0,1550";"0,1389";"0,0672"
"1,9200";"0,1566";"0,2692";"6,6105";"0,1566";"0,1402";"0,0679"
"1,9400";"0,1582";"0,2719";"6,6781";"0,1582";"0,1417";"0,0686"
"1,9600";"0,1600";"0,2746";"6,7445";"0,1600";"0,1433";"0,0693"
"1,9800";"0,1616";"0,2773";"6,8101";"0,1616";"0,1447";"0,0699"
"2,0000";"0,1633";"0,2800";"6,8758";"0,1633";"0,1462";"0,0706"
"2,0200";"0,1649";"0,2825";"6,9384";"0,1649";"0,1477";"0,0713"
"2,0400";"0,1665";"0,2852";"7,0034";"0,1665";"0,1491";"0,0719"
"2,0600";"0,1681";"0,2880";"7,0718";"0,1681";"0,1505";"0,0726"
"2,0800";"0,1699";"0,2906";"7,1357";"0,1699";"0,1521";"0,0733"
"2,1000";"0,1715";"0,2933";"7,2020";"0,1715";"0,1535";"0,0740"
"2,1200";"0,1732";"0,2959";"7,2658";"0,1732";"0,1550";"0,0747"
"2,1400";"0,1749";"0,2985";"7,3309";"0,1749";"0,1565";"0,0753"
"2,1600";"0,1765";"0,3013";"7,3981";"0,1765";"0,1580";"0,0761"
"2,1800";"0,1783";"0,3042";"7,4697";"0,1783";"0,1596";"0,0768"
"2,2000";"0,1800";"0,3069";"7,5358";"0,1800";"0,1611";"0,0776"
"2,2200";"0,1816";"0,3095";"7,6006";"0,1816";"0,1625";"0,0782"
