Tempo;Deslocamento;Força;Tensão à tração;Deformação à tração (Deslocamento);Extens Bi Axial - Connector 6;Extens Bi Trans - Conector 5
(s);(mm);(kN);(MPa);(%);(%);(%)
"0,0000";"0,0000";"0,0013";"0,0308";"0,0000";"0,0001";"0,0012"
"0,0200";"0,0000";"0,0014";"0,0331";"0,0000";"0,0001";"0,0013"
"0,0400";"0,0005";"0,0019";"0,0460";"0,0005";"0,0002";"0,0014"
"0,0600";"0,0018";"0,0038";"0,0933";"0,0018";"0,0012";"0,0018"
"0,0800";"0,0034";"0,0068";"0,1676";"0,0034";"0,0027";"0,0024"
"0,1000";"0,0052";"0,0102";"0,2509";"0,0052";"0,0044";"0,0032"
"0,1200";"0,0070";"0,0137";"0,3358";"0,0070";"0,0061";"0,0039"
"0,1400";"0,0086";"0,0169";"0,4150";"0,0086";"0,0076";"0,0045"
"0,1600";"0,0102";"0,0199";"0,4871";"0,0102";"0,0090";"0,0051"
"0,1800";"0,0119";"0,0227";"0,5553";"0,0119";"0,0105";"0,0058"
"0,2000";"0,0135";"0,0257";"0,6300";"0,0135";"0,0120";"0,0064"
"0,2200";"0,0152";"0,0289";"0,7068";"0,0152";"0,0136";"0,0071"
"0,2400";"0,0170";"0,0321";"0,7852";"0,0170";"0,0151";"0,0078"
"0,2600";"0,0186";"0,0350";"0,8559";"0,0186";"0,0166";"0,0084"
"0,2800";"0,0202";"0,0378";"0,9243";"0,0202";"0,0180";"0,0090"
"0,3000";"0,0218";"0,0406";"0,9950";"0,0218";"0,0195";"0,0097"
"0,3200";"0,0235";"0,0438";"1,0719";"0,0235";"0,0210";"0,0103"
"0,3400";"0,0252";"0,0468";"1,1456";"0,0252";"0,0225";"0,0110"
"0,3600";"0,0269";"0,0499";"1,2208";"0,0269";"0,0241";"0,0117"
"0,3800";"0,0285";"0,0526";"1,2889";"0,0285";"0,0255";"0,0123"
"0,4000";"0,0302";"0,0556";"1,3609";"0,0302";"0,0270";"0,0129"
"0,4200";"0,0318";"0,0587";"1,4371";"0,0318";"0,0285";"0,0136"
"0,4400";"0,0335";"0,0617";"1,5098";"0,0335";"0,0300";"0,0142"
"0,4600";"0,0352";"0,0647";"1,5839";"0,0352";"0,0316";"0,0149"
"0,4800";"0,0369";"0,0676";"1,6558";"0,0369";"0,0331";"0,0156"
"0,5000";"0,0385";"0,0703";"1,7220";"0,0385";"0,0345";"0,0162"
"0,5200";"0,0402";"0,0734";"1,7969";"0,0402";"0,0361";"0,0168"
"0,5400";"0,0419";"0,0764";"1,8712";"0,0419";"0,0376";"0,0175"
"0,5600";"0,0435";"0,0791";"1,9366";"0,0435";"0,0391";"0,0181"
"0,5800";"0,0453";"0,0820";"2,0087";"0,0453";"0,0406";"0,0188"
"0,6000";"0,0469";"0,0850";"2,0819";"0,0469";"0,0421";"0,0195"
"0,6200";"0,0485";"0,0881";"2,1575";"0,0485";"0,0436";"0,0201"
"0,6400";"0,0502";"0,0911";"2,2292";"0,0502";"0,0451";"0,0208"
"0,6600";"0,0518";"0,0938";"2,2957";"0,0518";"0,0465";"0,0214"
"0,6800";"0,0534";"0,0965";"2,3626";"0,0534";"0,0479";"0,0220"
"0,7000";"0,0551";"0,0994";"2,4346";"0,0551";"0,0494";"0,0227"
"0,7200";"0,0567";"0,1024";"2,5058";"0,0567";"0,0509";"0,0233"
"0,7400";"0,0584";"0,1052";"2,5753";"0,0584";"0,0524";"0,0240"
"0,7600";"0,0601";"0,1080";"2,6428";"0,0601";"0,0539";"0,0246"
"0,7800";"0,0617";"0,1106";"2,7085";"0,0617";"0,0553";"0,0253"
"0,8000";"0,0633";"0,1135";"2,7792";"0,0633";"0,0568";"0,0259"
"0,8200";"0,0650";"0,1165";"2,8525";"0,0650";"0,0583";"0,0266"
"0,8400";"0,0667";"0,1195";"2,9253";"0,0667";"0,0598";"0,0276"
"0,8600";"0,0684";"0,1223";"2,9949";"0,0683";"0,0613";"0,0282"
"0,8800";"0,0701";"0,1253";"3,0670";"0,0701";"0,0628";"0,0281"
"0,9000";"0,0717";"0,1281";"3,1354";"0,0717";"0,0643";"0,0283"
"0,9200";"0,0734";"0,1311";"3,2092";"0,0734";"0,0658";"0,0288"
"0,9400";"0,0752";"0,1340";"3,2809";"0,0752";"0,0674";"0,0295"
"0,9600";"0,0768";"0,1367";"3,3455";"0,0768";"0,0688";"0,0306"
"0,9800";"0,0784";"0,1394";"3,4132";"0,0784";"0,0703";"0,0318"
"1,0000";"0,0800";"0,1423";"3,4839";"0,0800";"0,0718";"0,0321"
"1,0200";"0,0817";"0,1453";"3,5562";"0,0817";"0,0732";"0,0324"
"1,0400";"0,0834";"0,1481";"3,6259";"0,0834";"0,0748";"0,0327"
"1,0600";"0,0851";"0,1510";"3,6970";"0,0851";"0,0763";"0,0330"
"1,0800";"0,0868";"0,1538";"3,7653";"0,0868";"0,0778";"0,0335"
"1,1000";"0,0885";"0,1567";"3,8370";"0,0884";"0,0793";"0,0340"
"1,1200";"0,0901";"0,1595";"3,9054";"0,0901";"0,0808";"0,0347"
"1,1400";"0,0917";"0,1623";"3,9726";"0,0917";"0,0822";"0,0355"
"1,1600";"0,0935";"0,1652";"4,0439";"0,0935";"0,0838";"0,0365"
"1,1800";"0,0952";"0,1681";"4,1166";"0,0952";"0,0853";"0,0372"
"1,2000";"0,0968";"0,1710";"4,1873";"0,0968";"0,0867";"0,0382"
"1,2200";"0,0985";"0,1738";"4,2541";"0,0985";"0,0883";"0,0388"
"1,2400";"0,1002";"0,1766";"4,3231";"0,1002";"0,0897";"0,0396"
"1,2600";"0,1018";"0,1794";"4,3911";"0,1018";"0,0912";"0,0407"
"1,2800";"0,1036";"0,1823";"4,4620";"0,1036";"0,0928";"0,0416"
"1,3000";"0,1052";"0,1849";"4,5274";"0,1052";"0,0943";"0,0422"
"1,3200";"0,1068";"0,1877";"4,5962";"0,1068";"0,0957";"0,0435"
"1,3400";"0,1085";"0,1906";"4,6673";"0,1085";"0,0972";"0,0462"
"1,3600";"0,1101";"0,1933";"4,7316";"0,1101";"0,0986";"0,0484"
"1,3800";"0,1117";"0,1961";"4,8008";"0,1117";"0,1001";"0,0501"
"1,4000";"0,1135";"0,1990";"4,8711";"0,1135";"0,1016";"0,0511"
"1,4200";"0,1151";"0,2019";"4,9429";"0,1151";"0,1031";"0,0517"
"1,4400";"0,1167";"0,2047";"5,0110";"0,1167";"0,1045";"0,0524"
"1,4600";"0,1184";"0,2074";"5,0781";"0,1184";"0,1060";"0,0534"
"1,4800";"0,1200";"0,2100";"5,1415";"0,1200";"0,1075";"0,0543"
"1,5000";"0,1217";"0,2129";"5,2123";"0,1217";"0,1089";"0,0546"
"1,5200";"0,1234";"0,2158";"5,2837";"0,1234";"0,1104";"0,0544"
"1,5400";"0,1250";"0,2185";"5,3490";"0,1250";"0,1119";"0,0533"
"1,5600";"0,1267";"0,2212";"5,4149";"0,1267";"0,1134";"0,0519"
"1,5800";"0,1284";"0,2240";"5,4837";"0,1284";"0,1149";"0,0516"
"1,6000";"0,1300";"0,2268";"5,5524";"0,1300";"0,1164";"0,0520"
"1,6200";"0,1317";"0,2296";"5,6204";"0,1317";"0,1179";"0,0529"
"1,6400";"0,1334";"0,2325";"5,6927";"0,1334";"0,1194";"0,0537"
"1,6600";"0,1351";"0,2354";"5,7618";"0,1351";"0,1209";"0,0543"
"1,6800";"0,1367";"0,2382";"5,8318";"0,1367";"0,1224";"0,0547"
"1,7000";"0,1384";"0,2410";"5,9003";"0,1384";"0,1238";"0,0553"
"1,7200";"0,1400";"0,2436";"5,9633";"0,1400";"0,1253";"0,0559"
"1,7400";"0,1418";"0,2462";"6,0278";"0,1418";"0,1268";"0,0567"
"1,7600";"0,1435";"0,2491";"6,0995";"0,1435";"0,1283";"0,0573"
"1,7800";"0,1451";"0,2522";"6,1747";"0,1451";"0,1298";"0,0579"
"1,8000";"0,1468";"0,2550";"6,2439";"0,1468";"0,1313";"0,0584"
"1,8200";"0,1485";"0,2576";"6,3076";"0,1485";"0,1328";"0,0590"
"1,8400";"0,1501";"0,2603";"6,3729";"0,1501";"0,1342";"0,0598"
"1,8600";"0,1518";"0,2630";"6,4394";"0,1518";"0,1357";"0,0605"
"1,8800";"0,1535";"0,2657";"6,5054";"0,1535";"0,1372";"0,0612"
"1,9000";"0,1551";"0,2685";"6,5726";"0,1551";"0,1387";"0,0619"
"1,9200";"0,1568";"0,2713";"6,6420";"0,1568";"0,1402";"0,0623"
"1,9400";"0,1585";"0,2740";"6,7082";"0,1585";"0,1416";"0,0630"
"1,9600";"0,1602";"0,2768";"6,7776";"0,1602";"0,1432";"0,0636"
"1,9800";"0,1619";"0,2798";"6,8500";"0,1619";"0,1447";"0,0642"
"2,0000";"0,1636";"0,2826";"6,9173";"0,1636";"0,1461";"0,0645"
"2,0200";"0,1652";"0,2851";"6,9806";"0,1652";"0,1476";"0,0649"
"2,0400";"0,1669";"0,2879";"7,0482";"0,1669";"0,1490";"0,0655"
"2,0600";"0,1684";"0,2904";"7,1098";"0,1684";"0,1504";"0,0662"
"2,0800";"0,1701";"0,2931";"7,1766";"0,1701";"0,1519";"0,0670"
"2,1000";"0,1718";"0,2958";"7,2427";"0,1718";"0,1534";"0,0680"
"2,1200";"0,1734";"0,2985";"7,3073";"0,1734";"0,1549";"0,0688"
