Tempo;Deslocamento;Força;Tensão à tração;Deformação à tração (Deslocamento);Extens Bi Axial - Connector 6;Extens Bi Trans - Conector 5
(s);(mm);(kN);(MPa);(%);(%);(%)
"0,0000";"0,0000";"-0,0053";"-0,1289";"0,0000";"0,0004";"0,0081"
"0,0200";"0,0000";"-0,0053";"-0,1288";"0,0000";"0,0004";"0,0082"
"0,0400";"0,0005";"-0,0044";"-0,1082";"0,0005";"0,0006";"0,0084"
"0,0600";"0,0018";"-0,0024";"-0,0595";"0,0018";"0,0017";"0,0090"
"0,0800";"0,0035";"0,0007";"0,0174";"0,0035";"0,0033";"0,0097"
"0,1000";"0,0054";"0,0040";"0,0974";"0,0054";"0,0050";"0,0106"
"0,1200";"0,0070";"0,0071";"0,1726";"0,0070";"0,0065";"0,0113"
"0,1400";"0,0087";"0,0100";"0,2443";"0,0087";"0,0080";"0,0120"
"0,1600";"0,0103";"0,0129";"0,3149";"0,0103";"0,0095";"0,0128"
"0,1800";"0,0120";"0,0158";"0,3874";"0,0119";"0,0110";"0,0136"
"0,2000";"0,0137";"0,0188";"0,4595";"0,0137";"0,0125";"0,0143"
"0,2200";"0,0154";"0,0216";"0,5285";"0,0154";"0,0141";"0,0151"
"0,2400";"0,0170";"0,0244";"0,5962";"0,0170";"0,0155";"0,0159"
"0,2600";"0,0186";"0,0271";"0,6638";"0,0186";"0,0170";"0,0166"
"0,2800";"0,0203";"0,0299";"0,7314";"0,0203";"0,0185";"0,0174"
"0,3000";"0,0219";"0,0328";"0,8022";"0,0219";"0,0199";"0,0181"
"0,3200";"0,0235";"0,0356";"0,8719";"0,0235";"0,0215";"0,0189"
"0,3400";"0,0252";"0,0385";"0,9426";"0,0252";"0,0230";"0,0196"
"0,3600";"0,0269";"0,0413";"1,0100";"0,0269";"0,0245";"0,0204"
"0,3800";"0,0286";"0,0443";"1,0831";"0,0286";"0,0260";"0,0211"
"0,4000";"0,0302";"0,0471";"1,1531";"0,0302";"0,0275";"0,0218"
"0,4200";"0,0318";"0,0498";"1,2195";"0,0318";"0,0290";"0,0226"
"0,4400";"0,0336";"0,0529";"1,2932";"0,0336";"0,0306";"0,0234"
"0,4600";"0,0353";"0,0559";"1,3679";"0,0353";"0,0321";"0,0241"
"0,4800";"0,0369";"0,0586";"1,4333";"0,0369";"0,0336";"0,0249"
