Tempo;Deslocamento;Força;Tensão à tração;Deformação à tração (Deslocamento);Extens Bi Axial - Connector 6;Extens Bi Trans - Conector 5
(s);(mm);(kN);(MPa);(%);(%);(%)
"0,0000";"0,0000";"-0,0021";"-0,0520";"0,0000";"0,0000";"0,0000"
"0,0200";"0,0000";"-0,0020";"-0,0496";"0,0000";"0,0000";"0,0000"
"0,0400";"0,0006";"-0,0014";"-0,0336";"0,0006";"0,0000";"0,0000"
"0,0600";"0,0021";"0,0011";"0,0259";"0,0021";"0,0000";"0,0000"
"0,0800";"0,0039";"0,0045";"0,1104";"0,0039";"0,0000";"0,0000"
"0,1000";"0,0056";"0,0079";"0,1938";"0,0056";"0,0000";"0,0000"
"0,1200";"0,0073";"0,0109";"0,2681";"0,0073";"0,0000";"0,0000"
"0,1400";"0,0089";"0,0138";"0,3369";"0,0089";"0,0000";"0,0000"
"0,1600";"0,0105";"0,0164";"0,4029";"0,0105";"0,0000";"0,0000"
"0,1800";"0,0122";"0,0193";"0,4727";"0,0122";"0,0000";"0,0000"
"0,2000";"0,0138";"0,0222";"0,5438";"0,0138";"0,0000";"0,0000"
"0,2200";"0,0154";"0,0252";"0,6182";"0,0154";"0,0000";"0,0000"
"0,2400";"0,0171";"0,0282";"0,6906";"0,0171";"0,0000";"0,0000"
"0,2600";"0,0187";"0,0310";"0,7597";"0,0187";"0,0000";"0,0000"
"0,2800";"0,0203";"0,0339";"0,8306";"0,0203";"0,0000";"0,0000"
"0,3000";"0,0220";"0,0368";"0,9022";"0,0220";"0,0000";"0,0000"
"0,3200";"0,0237";"0,0397";"0,9721";"0,0237";"0,0000";"0,0000"
"0,3400";"0,0253";"0,0426";"1,0436";"0,0253";"0,0000";"0,0000"
"0,3600";"0,0270";"0,0454";"1,1132";"0,0270";"0,0000";"0,0000"
"0,3800";"0,0287";"0,0485";"1,1880";"0,0287";"0,0000";"0,0000"
"0,4000";"0,0304";"0,0514";"1,2583";"0,0304";"0,0000";"0,0000"
"0,4200";"0,0321";"0,0543";"1,3307";"0,0321";"0,0000";"0,0000"
"0,4400";"0,0337";"0,0571";"1,3991";"0,0337";"0,0000";"0,0000"
"0,4600";"0,0353";"0,0599";"1,4670";"0,0353";"0,0000";"0,0000"
"0,4800";"0,0370";"0,0627";"1,5367";"0,0370";"0,0000";"0,0000"
"0,5000";"0,0386";"0,0654";"1,6032";"0,0386";"0,0000";"0,0000"
"0,5200";"0,0404";"0,0684";"1,6757";"0,0404";"0,0000";"0,0000"
"0,5400";"0,0421";"0,0714";"1,7483";"0,0421";"0,0000";"0,0000"
"0,5600";"0,0437";"0,0741";"1,8157";"0,0437";"0,0000";"0,0000"
"0,5800";"0,0454";"0,0771";"1,8879";"0,0454";"0,0000";"0,0000"
"0,6000";"0,0471";"0,0798";"1,9559";"0,0471";"0,0000";"0,0000"
"0,6200";"0,0487";"0,0827";"2,0248";"0,0487";"0,0000";"0,0000"
"0,6400";"0,0504";"0,0857";"2,0986";"0,0504";"0,0000";"0,0000"
"0,6600";"0,0521";"0,0886";"2,1696";"0,0521";"0,0000";"0,0000"
"0,6800";"0,0538";"0,0913";"2,2378";"0,0538";"0,0000";"0,0000"
"0,7000";"0,0555";"0,0942";"2,3065";"0,0555";"0,0000";"0,0000"
"0,7200";"0,0571";"0,0969";"2,3734";"0,0571";"0,0000";"0,0000"
"0,7400";"0,0588";"0,0998";"2,4442";"0,0588";"0,0000";"0,0000"
"0,7600";"0,0605";"0,1026";"2,5139";"0,0605";"0,0000";"0,0000"
"0,7800";"0,0622";"0,1054";"2,5823";"0,0622";"0,0000";"0,0000"
"0,8000";"0,0638";"0,1082";"2,6519";"0,0638";"0,0000";"0,0000"
